MNO,MIN Amount,MAX Amount,Sending Amount,Withdrawal Amount
Airtel Uganda,500,"2,500",100,330
Airtel Uganda,"2,501","5,000",100,440
Airtel Uganda,"5,001","15,000",500,700
Airtel Uganda,"15,001","30,000",500,880
Airtel Uganda,"30,001","45,000",500,"1,210"
Airtel Uganda,"45,001","60,000",500,"1,500"
Airtel Uganda,"60,001","125,000","1,000","1,925"
Airtel Uganda,"125,001","250,000","1,000","3,575"
Airtel Uganda,"250,001","500,000","1,000","7,000"
Airtel Uganda,"500,001","1,000,000","1,000","12,500"
Airtel Uganda,"1,000,001","2,000,000","1,000","12,500"
Airtel Uganda,"2,000,001","4,000,000","1,000","12,500"
Airtel Uganda,"4,000,001","7,000,000","1,000","12,500"
